,start,end,x_ksm,y_ksm,z_ksm,duration,Range (RS),LocalTime (hr),Latitute (deg)
131,2004-04-09 04:03:00.000,2004-04-09 07:24:00.000,278.61519017971534,-627.7282222998363,-84.3793353309553,12060.0,691.945819773113,7.269722222222222,-19.79166058389695
132,2004-04-09 12:57:00.000,2004-04-09 14:15:00.000,277.32970892451283,-625.1772672440162,-84.07344171535634,4680.0,689.0767203531958,7.268888888888889,-19.791734691339883
133,2004-04-09 14:39:00.000,2004-04-09 18:51:00.000,277.0843052718495,-624.6858998789787,-84.04475706269123,15120.0,688.5286536705061,7.268611111111111,-19.791748844925014
134,2004-04-09 23:21:00.000,2004-04-10 05:18:00.000,275.82911028989264,-622.190148971718,-83.7534981590749,21420.0,685.7236528038424,7.267777777777778,-19.79182141039791
135,2004-04-10 10:39:00.000,2004-04-10 17:15:00.000,274.2005346749135,-618.9456482209665,-83.38661248766505,23760.0,682.0798896096035,7.266666666666667,-19.79191630480364
136,2004-04-10 23:12:00.000,2004-04-11 03:42:00.000,272.39411792804947,-615.3308403267079,-83.05013217206553,16200.0,678.0323908138682,7.265555555555555,-19.7920229052914
137,2004-04-11 07:21:00.000,2004-04-11 13:12:00.000,271.22233692393576,-612.9944416195193,-82.74177027178811,21060.0,675.4035401525643,7.264722222222222,-19.792093299410247
138,2004-04-11 22:09:00.000,2004-04-11 23:54:00.000,269.0970726475172,-608.7160439109986,-82.42903745915835,6300.0,670.6288115183862,7.263333333333334,-19.79222529750934
139,2004-04-16 14:33:00.000,2004-04-16 15:36:00.000,253.0618722793629,-576.3153999461005,-78.65289555367464,3780.0,634.3232846077366,7.252777777777778,-19.7935793566179
140,2004-04-16 17:24:00.000,2004-04-16 18:30:00.000,252.65759159864035,-575.490919316054,-78.56191718273202,3960.0,633.4016353302925,7.2525,-19.79362393223185
141,2004-04-16 18:51:00.000,2004-04-16 23:54:00.000,252.45194670172089,-575.0595782758352,-78.6021881531171,18180.0,632.9327041184773,7.2525,-19.793646831857032
142,2004-04-17 02:21:00.000,2004-04-17 04:57:00.000,251.38871327030344,-572.9074058551892,-78.22945297452227,9360.0,630.506961227324,7.251666666666667,-19.793767662594963
143,2004-04-18 05:00:00.000,2004-04-18 06:45:00.000,247.61662074419655,-565.1639602742781,-77.56122915105465,6300.0,621.884263451893,7.249444444444444,-19.794229453755094
144,2004-04-20 09:27:00.000,2004-04-21 00:27:00.000,240.2192280499892,-549.9604791998465,-75.77873415747155,54000.0,604.9001758614113,7.244722222222222,-19.795247675124894
145,2004-04-21 04:27:00.000,2004-04-21 08:15:00.000,237.5482647039688,-544.4618610148539,-75.00637190038417,13680.0,598.7435611255319,7.2427777777777775,-19.79563776490476
146,2004-04-23 03:00:00.000,2004-04-23 05:18:00.000,231.0248540493068,-530.9102535044407,-73.55625528479342,8280.0,583.6511827763006,7.238888888888889,-19.796610402320773
147,2004-04-23 22:15:00.000,2004-04-24 04:03:00.000,228.33591004310503,-525.3119255238275,-72.85784773259445,20880.0,577.406419161573,7.236944444444444,-19.797014234245303
148,2004-04-24 19:03:00.000,2004-04-25 01:42:00.000,225.4364125202244,-519.2566851562793,-72.10957600763258,23940.0,570.6565272749245,7.235277777777778,-19.797447506203326
149,2004-04-25 06:03:00.000,2004-04-25 11:39:00.000,223.9056032441186,-516.0478920607256,-71.74405603967509,20160.0,567.0858450371117,7.234166666666667,-19.797676675812376
150,2004-04-25 17:15:00.000,2004-04-25 21:15:00.000,222.34878573989675,-512.7785008271607,-71.37578999891375,14400.0,563.4494447850011,7.233333333333333,-19.797911891166255
151,2004-04-26 15:39:00.000,2004-04-26 21:18:00.000,219.240657089415,-506.2385207783904,-70.60995845514738,20340.0,556.1741380844032,7.231388888888889,-19.79838981618727
152,2004-04-26 22:24:00.000,2004-04-27 00:12:00.000,218.30550278671384,-504.2904031615199,-70.2066918696785,6480.0,553.9811213850633,7.230833333333334,-19.7985364165978
153,2004-04-27 01:36:00.000,2004-04-27 02:27:00.000,217.8624042963673,-503.3341544787617,-70.24842855802721,3060.0,552.9413531157858,7.230555555555556,-19.79860649353056
154,2004-04-27 11:48:00.000,2004-04-27 14:03:00.000,216.451025835558,-500.356028229789,-69.87256903938061,8100.0,549.6265800298579,7.229722222222223,-19.79883277874854
