,start,end,x_ksm,y_ksm,z_ksm,label,duration,Range,subLST,subLat,south phase,north phase
4005,2015-07-22 15:03:00.000,2015-07-22 21:06:00.000,-7.656828439975691,-33.292124056395295,3.2795134264027603,LFE,21780.0,34.31832971255435,5.064166666666667,-0.5333181068808432,3408471.953087803,3405259.8502157903
4006,2015-07-22 22:09:00.000,2015-07-23 05:21:00.000,-6.605174515034001,-32.3814812555755,2.79929177496501,LFE,25920.0,33.16662016426499,5.167777777777778,-0.5279380144914267,3408710.904910395,3405497.04399881
4007,2015-07-23 10:09:00.000,2015-07-23 16:51:00.000,-4.781106155471277,-30.609293046534823,1.977774652162318,LFE,24120.0,31.043508008169216,5.361111111111111,-0.5168463879551253,3409114.7671457627,3405897.9348996887
4008,2015-07-23 19:48:00.000,2015-07-24 04:24:00.000,-3.275810523366599,-28.94691187276245,1.295262597652473,LFE,30960.0,29.160458616958557,5.538333333333333,-0.5055233799895811,3409439.5396933705,3406220.3179991455
4009,2015-07-24 08:33:00.000,2015-07-25 02:27:00.000,-1.2452798060985997,-26.369375375534197,0.3836200779889749,LFE_m,64440.0,26.401550027518127,5.8133333333333335,-0.4857870364868106,3409868.6433184487,3406646.264581329
4010,2015-07-25 07:36:00.000,2015-07-25 13:06:00.000,2.454028342302231,-20.27200553222702,-1.276178243029104,LFE,19800.0,20.459841013836016,6.5175,-0.4240612604578745,3410644.3953622174,3407416.309186768
4011,2015-07-25 18:33:00.000,2015-07-26 00:30:00.000,4.121076632721726,-16.46030902017312,-2.0159920308420944,LFE,21420.0,17.087693510850915,7.038055555555555,-0.3690571368802892,3411012.9196519903,3407782.12213382
4012,2015-07-26 16:27:00.000,2015-07-26 20:00:00.000,6.239617679533639,-5.634690863407723,-2.9125724165179228,LFE,12780.0,8.89750796540134,9.380555555555556,-0.0543991484867363,3411749.9682315355,3408513.748027923
4013,2015-07-31 02:33:00.000,2015-07-31 03:09:00.000,-25.260811885252743,-14.32288175373372,11.530519058986265,LFE_sm,2160.0,31.24430233823777,1.8191666666666664,-0.4967834516748596,3415320.496789615,3412054.595476593
4014,2015-07-31 03:24:00.000,2015-07-31 04:00:00.000,-25.338291058160333,-14.500888194849784,11.563626531675911,LFE,2160.0,31.400990601439005,1.8336111111111115,-0.4978106114530661,3415349.09759161,3412082.9600348715
4015,2015-07-31 04:18:00.000,2015-07-31 04:48:00.000,-25.41888847026338,-14.688389916199922,11.598179311428687,LFE,1800.0,31.565589694065032,1.8486111111111112,-0.4988794751780315,3415379.380793723,3412112.9930965784
4016,2015-07-31 14:06:00.000,2015-08-01 08:21:00.000,-26.205512465978146,-16.663294967442276,11.948261281671307,LFE_m,65700.0,33.27394221356418,2.0033333333333334,-0.5093983114073715,3415709.1312167244,3412440.0197684933
4017,2015-08-01 22:24:00.000,2015-08-02 18:24:00.000,-27.80002051774862,-22.49895496251988,12.642844613485904,LFE_m,72000.0,37.932646033640886,2.4252777777777776,-0.5337549625147356,3416795.961692537,3413517.872983073
4018,2015-08-02 19:00:00.000,2015-08-02 19:51:00.000,-28.16925011383026,-25.70864311976103,12.793726181128855,LFE_sm,3060.0,40.22586745655666,2.648333333333333,-0.5440204470782801,3417489.1105408887,3414205.2963954676
4019,2015-08-03 18:51:00.000,2015-08-04 19:21:00.000,-28.086570773281625,-28.958627768581437,12.72941903420449,LFE_m,88200.0,42.30243124207143,2.88,-0.5526933703512232,3418291.615396868,3415001.1725306907
4020,2015-08-04 20:24:00.000,2015-08-05 20:30:00.000,-27.475047613154715,-31.891797037096172,12.43946189879133,LFE_m,86760.0,43.89424987321159,3.1069444444444447,-0.5592147353321872,3419151.3218568373,3415853.777782471
4021,2015-08-06 01:09:00.000,2015-08-06 05:42:00.000,-26.22140224788104,-34.540910499165015,11.834956874388672,LFE,16380.0,44.9522261759654,3.3472222222222223,-0.5639411704087844,3420118.7019243175,3416813.167253652
